subject,sender,text,label
Lottery winner #61,winner@unknown.example,Buy cheap pills with no prescription and get a free bonus offer today. This message was generated for account 22499.,spam
Urgent security alert #111,security-alert@paypa1.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Reply is not required for this notification.,phishing
New follower #96,updates@community.example,A colleague sent you a connection request and viewed your profile. Reference id 52096.,social
Account suspended #105,support@secure-login.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Sent from automated mail service.,phishing
Coupon inside #98,deals@shop.example,Limited time sale with exclusive deals for members only. Reference id 36174.,promotion
Account suspended #113,support@secure-login.example,Your bank login is locked. Visit www.account-verify.example and confirm details. This message was generated for account 75028.,phishing
Urgent security alert #102,verify@bank-check.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 30658.,phishing
Free gift now #13,sales@random.example,Buy cheap pills with no prescription and get a free bonus offer today. Please keep this email for your records.,spam
Meeting notes #48,manager@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. This message was generated for account 42591.,primary
Cashback deal #93,promo@store.example,Use this coupon code to unlock cashback on your next purchase. Reply is not required for this notification.,promotion
Weekly sync #101,teammate@example.com,Please review the notes and share your feedback before end of day. This message was generated for account 77561.,primary
Statement ready #54,billing@service.example,Your package has shipped and the tracking details are now available. Please keep this email for your records.,updates
Comment notification #57,alerts@network.example,You were invited to join a community discussion. Reference id 71186.,social
Build completed #19,ci@example.com,Your package has shipped and the tracking details are now available. Reply is not required for this notification.,updates
New connection request #27,updates@community.example,Someone commented on your update in the project group. Please keep this email for your records.,social
OTP required #49,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reference id 27973.,phishing
Document review #43,manager@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Sent from automated mail service.,primary
Limited offer #57,offers@market.example,Buy today and save more with our festival offer. Sent from automated mail service.,promotion
Group invite #21,alerts@network.example,You were invited to join a community discussion. Please keep this email for your records.,social
OTP required #94,security-alert@paypa1.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Reply is not required for this notification.,phishing
Cheap medicine offer #86,claim@prize.example,Free gift waiting for you. Click now before the offer expires!!! Sent from automated mail service.,spam
Free gift now #58,sales@random.example,Free gift waiting for you. Click now before the offer expires!!! Reference id 63120.,spam
Account suspended #75,support@secure-login.example,Final notice: account suspended. Confirm OTP and login credential immediately. Please keep this email for your records.,phishing
Account suspended #57,security-alert@paypa1.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Reply is not required for this notification.,phishing
Verify password now #28,verify@bank-check.example,Unusual activity detected. Update your PIN and password now to restore access. This message was generated for account 42725.,phishing
New connection request #118,notifications@social.example,You have new followers and reactions on your recent post. Sent from automated mail service.,social
Weekend sale #6,promo@store.example,Buy today and save more with our festival offer. Please keep this email for your records.,promotion
Final login notice #50,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reply is not required for this notification.,phishing
Verify password now #42,security-alert@paypa1.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Please keep this email for your records.,phishing
Project follow up #8,teammate@example.com,Please review the notes and share your feedback before end of day. Please keep this email for your records.,primary
Lunch plan #120,teammate@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Reference id 38760.,primary
Exclusive discount #2,deals@shop.example,Get a special discount and free shipping on selected products this weekend. Please keep this email for your records.,promotion
You won cash #53,claim@prize.example,Buy cheap pills with no prescription and get a free bonus offer today. This message was generated for account 24026.,spam
Delivery status #28,ci@example.com,Your account statement for this month is ready for download. Reply is not required for this notification.,updates
Meeting notes #95,manager@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Reply is not required for this notification.,primary
Invoice available #68,no-reply@updates.example,Your monthly invoice is ready and can be viewed in your account dashboard. Sent from automated mail service.,updates
New follower #5,notifications@social.example,You have new followers and reactions on your recent post. Please keep this email for your records.,social
Cashback deal #99,promo@store.example,Get a special discount and free shipping on selected products this weekend. Sent from automated mail service.,promotion
Exclusive discount #83,promo@store.example,Limited time sale with exclusive deals for members only. Reply is not required for this notification.,promotion
New connection request #2,updates@community.example,You were invited to join a community discussion. Reference id 27675.,social
Statement ready #82,no-reply@updates.example,Your account statement for this month is ready for download. Please keep this email for your records.,updates
You won cash #79,sales@random.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Sent from automated mail service.,spam
Exclusive discount #46,offers@market.example,Get a special discount and free shipping on selected products this weekend. Reference id 30392.,promotion
Coupon inside #5,offers@market.example,Use this coupon code to unlock cashback on your next purchase. Reply is not required for this notification.,promotion
Limited offer #79,promo@store.example,Buy today and save more with our festival offer. Please keep this email for your records.,promotion
Statement ready #31,no-reply@updates.example,Your account statement for this month is ready for download. Sent from automated mail service.,updates
Group invite #100,notifications@social.example,Someone commented on your update in the project group. Please keep this email for your records.,social
Comment notification #83,notifications@social.example,You have new followers and reactions on your recent post. Please keep this email for your records.,social
Cashback deal #60,deals@shop.example,Use this coupon code to unlock cashback on your next purchase. Reply is not required for this notification.,promotion
Document review #28,manager@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Reference id 48469.,primary
Account suspended #15,support@secure-login.example,Final notice: account suspended. Confirm OTP and login credential immediately. Sent from automated mail service.,phishing
Password changed #7,billing@service.example,Your account statement for this month is ready for download. Reference id 65255.,updates
OTP required #60,support@secure-login.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reply is not required for this notification.,phishing
Profile activity #55,notifications@social.example,Someone commented on your update in the project group. Sent from automated mail service.,social
New follower #39,updates@community.example,Someone commented on your update in the project group. Reference id 39552.,social
Coupon inside #101,deals@shop.example,Buy today and save more with our festival offer. Reference id 68893.,promotion
New follower #109,alerts@network.example,A colleague sent you a connection request and viewed your profile. Please keep this email for your records.,social
Delivery status #98,no-reply@updates.example,Your package has shipped and the tracking details are now available. This message was generated for account 99539.,updates
Lunch plan #63,teammate@example.com,I added comments to the document and assigned the open action items. Reference id 27154.,primary
Limited offer #40,deals@shop.example,Use this coupon code to unlock cashback on your next purchase. Please keep this email for your records.,promotion
New follower #108,alerts@network.example,You have new followers and reactions on your recent post. Reply is not required for this notification.,social
Cheap medicine offer #20,claim@prize.example,Buy cheap pills with no prescription and get a free bonus offer today. Reply is not required for this notification.,spam
Limited offer #108,deals@shop.example,Use this coupon code to unlock cashback on your next purchase. Sent from automated mail service.,promotion
New follower #24,alerts@network.example,You were invited to join a community discussion. This message was generated for account 25435.,social
Profile activity #107,alerts@network.example,Someone commented on your update in the project group. This message was generated for account 34219.,social
Build completed #46,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Sent from automated mail service.,updates
Password changed #64,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Please keep this email for your records.,updates
Profile activity #3,notifications@social.example,You have new followers and reactions on your recent post. Reference id 48462.,social
Weekly sync #59,manager@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Reply is not required for this notification.,primary
Lunch plan #38,teammate@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Reference id 98039.,primary
Coupon inside #68,promo@store.example,Limited time sale with exclusive deals for members only. This message was generated for account 94278.,promotion
Lunch plan #6,manager@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Reply is not required for this notification.,primary
Weekly sync #9,teammate@example.com,Please review the notes and share your feedback before end of day. Reply is not required for this notification.,primary
Lottery winner #113,winner@unknown.example,Buy cheap pills with no prescription and get a free bonus offer today. Please keep this email for your records.,spam
Free gift now #117,winner@unknown.example,Buy cheap pills with no prescription and get a free bonus offer today. This message was generated for account 66302.,spam
Lottery winner #31,claim@prize.example,Buy cheap pills with no prescription and get a free bonus offer today. Reply is not required for this notification.,spam
Profile activity #90,updates@community.example,Someone commented on your update in the project group. Sent from automated mail service.,social
Prize claim #111,winner@unknown.example,You have been selected for a lottery reward. Act now to receive cash. Reference id 69303.,spam
Build completed #96,ci@example.com,Your package has shipped and the tracking details are now available. This message was generated for account 79621.,updates
Coupon inside #90,offers@market.example,Get a special discount and free shipping on selected products this weekend. Please keep this email for your records.,promotion
Weekly sync #40,manager@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Reference id 87110.,primary
Comment notification #73,notifications@social.example,Someone commented on your update in the project group. Please keep this email for your records.,social
Lunch plan #113,teammate@example.com,Please review the notes and share your feedback before end of day. This message was generated for account 45614.,primary
Cashback deal #47,offers@market.example,Buy today and save more with our festival offer. Reply is not required for this notification.,promotion
Weekend sale #106,promo@store.example,Buy today and save more with our festival offer. This message was generated for account 28035.,promotion
Free gift now #8,sales@random.example,Free gift waiting for you. Click now before the offer expires!!! Reply is not required for this notification.,spam
Cheap medicine offer #41,sales@random.example,Buy cheap pills with no prescription and get a free bonus offer today. Reply is not required for this notification.,spam
Prize claim #73,winner@unknown.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Reference id 91083.,spam
Verify password now #67,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reference id 67342.,phishing
Lunch plan #87,manager@example.com,I added comments to the document and assigned the open action items. Reference id 25118.,primary
Weekly sync #3,teammate@example.com,Please review the notes and share your feedback before end of day. Reference id 21395.,primary
Cheap medicine offer #42,sales@random.example,You have been selected for a lottery reward. Act now to receive cash. Please keep this email for your records.,spam
Verify password now #114,security-alert@paypa1.example,Unusual activity detected. Update your PIN and password now to restore access. Please keep this email for your records.,phishing
Verify password now #16,support@secure-login.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Sent from automated mail service.,phishing
Account suspended #48,support@secure-login.example,Unusual activity detected. Update your PIN and password now to restore access. Please keep this email for your records.,phishing
Project follow up #42,friend@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Please keep this email for your records.,primary
Prize claim #7,sales@random.example,Buy cheap pills with no prescription and get a free bonus offer today. This message was generated for account 14159.,spam
Prize claim #32,sales@random.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. This message was generated for account 37379.,spam
Comment notification #58,updates@community.example,You were invited to join a community discussion. This message was generated for account 21802.,social
Lottery winner #78,claim@prize.example,Free gift waiting for you. Click now before the offer expires!!! Reference id 83005.,spam
Password changed #108,ci@example.com,Your package has shipped and the tracking details are now available. Reference id 91381.,updates
Urgent security alert #71,security-alert@paypa1.example,Unusual activity detected. Update your PIN and password now to restore access. This message was generated for account 77793.,phishing
Limited offer #94,offers@market.example,Buy today and save more with our festival offer. This message was generated for account 90031.,promotion
Statement ready #3,ci@example.com,Your monthly invoice is ready and can be viewed in your account dashboard. Reference id 87580.,updates
Limited offer #41,promo@store.example,Get a special discount and free shipping on selected products this weekend. This message was generated for account 50499.,promotion
You won cash #46,winner@unknown.example,Free gift waiting for you. Click now before the offer expires!!! This message was generated for account 97584.,spam
Cashback deal #58,promo@store.example,Get a special discount and free shipping on selected products this weekend. Reply is not required for this notification.,promotion
Coupon inside #36,deals@shop.example,Use this coupon code to unlock cashback on your next purchase. Reply is not required for this notification.,promotion
Free gift now #17,sales@random.example,Buy cheap pills with no prescription and get a free bonus offer today. Sent from automated mail service.,spam
Group invite #59,alerts@network.example,A colleague sent you a connection request and viewed your profile. Reference id 38199.,social
Password changed #6,no-reply@updates.example,Your account statement for this month is ready for download. Please keep this email for your records.,updates
Group invite #87,alerts@network.example,You were invited to join a community discussion. Please keep this email for your records.,social
Statement ready #104,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Reference id 57049.,updates
Lunch plan #54,teammate@example.com,I added comments to the document and assigned the open action items. Reply is not required for this notification.,primary
Lunch plan #71,friend@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Please keep this email for your records.,primary
Weekend sale #56,promo@store.example,Get a special discount and free shipping on selected products this weekend. Reply is not required for this notification.,promotion
Lottery winner #116,winner@unknown.example,Free gift waiting for you. Click now before the offer expires!!! Sent from automated mail service.,spam
Weekend sale #10,promo@store.example,Get a special discount and free shipping on selected products this weekend. This message was generated for account 34878.,promotion
Limited offer #34,offers@market.example,Buy today and save more with our festival offer. Reference id 63845.,promotion
New connection request #18,notifications@social.example,Someone commented on your update in the project group. Please keep this email for your records.,social
Invoice available #74,billing@service.example,Your monthly invoice is ready and can be viewed in your account dashboard. Reply is not required for this notification.,updates
Password changed #5,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. This message was generated for account 16590.,updates
Urgent security alert #37,verify@bank-check.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Reference id 73614.,phishing
Lottery winner #40,claim@prize.example,Free gift waiting for you. Click now before the offer expires!!! Please keep this email for your records.,spam
Document review #81,friend@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Please keep this email for your records.,primary
Meeting notes #37,friend@example.com,I added comments to the document and assigned the open action items. Reply is not required for this notification.,primary
Document review #118,manager@example.com,I added comments to the document and assigned the open action items. Please keep this email for your records.,primary
Exclusive discount #64,promo@store.example,Limited time sale with exclusive deals for members only. This message was generated for account 76840.,promotion
Document review #105,manager@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Reference id 74799.,primary
Build completed #102,no-reply@updates.example,Your package has shipped and the tracking details are now available. Reply is not required for this notification.,updates
New connection request #44,notifications@social.example,A colleague sent you a connection request and viewed your profile. Sent from automated mail service.,social
Password changed #120,ci@example.com,Your package has shipped and the tracking details are now available. Reference id 83584.,updates
Exclusive discount #15,offers@market.example,Limited time sale with exclusive deals for members only. This message was generated for account 28964.,promotion
Verify password now #95,security-alert@paypa1.example,Unusual activity detected. Update your PIN and password now to restore access. Please keep this email for your records.,phishing
Coupon inside #55,offers@market.example,Limited time sale with exclusive deals for members only. Reference id 40161.,promotion
New connection request #111,alerts@network.example,Someone commented on your update in the project group. This message was generated for account 97528.,social
Urgent security alert #97,security-alert@paypa1.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 69343.,phishing
Weekly sync #98,friend@example.com,I added comments to the document and assigned the open action items. Reply is not required for this notification.,primary
Weekend sale #69,promo@store.example,Buy today and save more with our festival offer. Please keep this email for your records.,promotion
Invoice available #9,billing@service.example,Your package has shipped and the tracking details are now available. This message was generated for account 95426.,updates
Urgent security alert #40,security-alert@paypa1.example,Unusual activity detected. Update your PIN and password now to restore access. Reference id 27290.,phishing
Coupon inside #39,offers@market.example,Get a special discount and free shipping on selected products this weekend. Sent from automated mail service.,promotion
Meeting notes #19,friend@example.com,I added comments to the document and assigned the open action items. This message was generated for account 18675.,primary
Build completed #39,billing@service.example,Your monthly invoice is ready and can be viewed in your account dashboard. Sent from automated mail service.,updates
Invoice available #29,billing@service.example,The deployment completed successfully and logs are attached to the build. This message was generated for account 68743.,updates
Limited offer #8,deals@shop.example,Limited time sale with exclusive deals for members only. Sent from automated mail service.,promotion
Invoice available #43,billing@service.example,Your package has shipped and the tracking details are now available. Sent from automated mail service.,updates
Lunch plan #14,teammate@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Please keep this email for your records.,primary
Cheap medicine offer #38,sales@random.example,You have been selected for a lottery reward. Act now to receive cash. Reply is not required for this notification.,spam
Verify password now #115,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Please keep this email for your records.,phishing
Cheap medicine offer #47,winner@unknown.example,Buy cheap pills with no prescription and get a free bonus offer today. Reference id 92667.,spam
Free gift now #55,winner@unknown.example,You have been selected for a lottery reward. Act now to receive cash. Reply is not required for this notification.,spam
You won cash #1,claim@prize.example,Free gift waiting for you. Click now before the offer expires!!! Reference id 74071.,spam
Password changed #80,ci@example.com,Your account statement for this month is ready for download. This message was generated for account 47072.,updates
Prize claim #85,sales@random.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Please keep this email for your records.,spam
Lunch plan #85,manager@example.com,I added comments to the document and assigned the open action items. Please keep this email for your records.,primary
Delivery status #112,ci@example.com,The deployment completed successfully and logs are attached to the build. Sent from automated mail service.,updates
Weekly sync #79,teammate@example.com,Can we move our meeting to tomorrow afternoon after the planning call? This message was generated for account 56357.,primary
Profile activity #56,notifications@social.example,You were invited to join a community discussion. Sent from automated mail service.,social
Coupon inside #73,offers@market.example,Buy today and save more with our festival offer. Reply is not required for this notification.,promotion
Password changed #99,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Reference id 70443.,updates
Verify password now #58,support@secure-login.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Sent from automated mail service.,phishing
Invoice available #117,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Please keep this email for your records.,updates
Profile activity #94,notifications@social.example,You have new followers and reactions on your recent post. Reply is not required for this notification.,social
Cashback deal #1,offers@market.example,Limited time sale with exclusive deals for members only. Reply is not required for this notification.,promotion
Urgent security alert #46,security-alert@paypa1.example,Your bank login is locked. Visit www.account-verify.example and confirm details. This message was generated for account 11056.,phishing
Exclusive discount #13,offers@market.example,Use this coupon code to unlock cashback on your next purchase. This message was generated for account 82641.,promotion
Verify password now #90,verify@bank-check.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reply is not required for this notification.,phishing
Password changed #101,ci@example.com,The deployment completed successfully and logs are attached to the build. Reply is not required for this notification.,updates
Exclusive discount #89,deals@shop.example,Limited time sale with exclusive deals for members only. Reference id 28030.,promotion
Lottery winner #39,winner@unknown.example,Buy cheap pills with no prescription and get a free bonus offer today. Reference id 15992.,spam
Coupon inside #97,offers@market.example,Buy today and save more with our festival offer. This message was generated for account 60052.,promotion
Profile activity #116,notifications@social.example,A colleague sent you a connection request and viewed your profile. Sent from automated mail service.,social
Project follow up #25,teammate@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Sent from automated mail service.,primary
Group invite #65,alerts@network.example,A colleague sent you a connection request and viewed your profile. This message was generated for account 69028.,social
Urgent security alert #30,verify@bank-check.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Reply is not required for this notification.,phishing
Delivery status #23,no-reply@updates.example,Your account statement for this month is ready for download. Please keep this email for your records.,updates
Free gift now #106,sales@random.example,Buy cheap pills with no prescription and get a free bonus offer today. Please keep this email for your records.,spam
You won cash #18,winner@unknown.example,You have been selected for a lottery reward. Act now to receive cash. This message was generated for account 38477.,spam
Comment notification #75,alerts@network.example,You have new followers and reactions on your recent post. Reference id 88238.,social
Weekend sale #37,promo@store.example,Limited time sale with exclusive deals for members only. Reference id 39392.,promotion
Project follow up #92,friend@example.com,I added comments to the document and assigned the open action items. Sent from automated mail service.,primary
OTP required #8,verify@bank-check.example,Final notice: account suspended. Confirm OTP and login credential immediately. Sent from automated mail service.,phishing
Group invite #17,updates@community.example,You were invited to join a community discussion. Reference id 28714.,social
Statement ready #81,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Please keep this email for your records.,updates
Profile activity #77,notifications@social.example,A colleague sent you a connection request and viewed your profile. This message was generated for account 99224.,social
Password changed #17,billing@service.example,The deployment completed successfully and logs are attached to the build. Reference id 66148.,updates
Statement ready #56,no-reply@updates.example,Your account statement for this month is ready for download. Reference id 87993.,updates
Project follow up #57,friend@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Sent from automated mail service.,primary
Statement ready #63,no-reply@updates.example,Your account statement for this month is ready for download. Reference id 33788.,updates
Password changed #66,ci@example.com,Your account statement for this month is ready for download. Sent from automated mail service.,updates
Weekly sync #88,teammate@example.com,I added comments to the document and assigned the open action items. Please keep this email for your records.,primary
Meeting notes #49,teammate@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. This message was generated for account 65296.,primary
New follower #86,alerts@network.example,A colleague sent you a connection request and viewed your profile. Sent from automated mail service.,social
Profile activity #42,updates@community.example,You have new followers and reactions on your recent post. This message was generated for account 94015.,social
Account suspended #27,support@secure-login.example,Final notice: account suspended. Confirm OTP and login credential immediately. This message was generated for account 63948.,phishing
Delivery status #30,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Reply is not required for this notification.,updates
Project follow up #10,teammate@example.com,Please review the notes and share your feedback before end of day. Sent from automated mail service.,primary
Coupon inside #84,offers@market.example,Get a special discount and free shipping on selected products this weekend. Please keep this email for your records.,promotion
Lottery winner #54,claim@prize.example,You have been selected for a lottery reward. Act now to receive cash. Please keep this email for your records.,spam
New follower #15,updates@community.example,A colleague sent you a connection request and viewed your profile. Reference id 67008.,social
Prize claim #93,sales@random.example,You have been selected for a lottery reward. Act now to receive cash. Reply is not required for this notification.,spam
Password changed #113,billing@service.example,The deployment completed successfully and logs are attached to the build. Reply is not required for this notification.,updates
Document review #67,friend@example.com,I added comments to the document and assigned the open action items. Sent from automated mail service.,primary
New follower #53,alerts@network.example,You have new followers and reactions on your recent post. This message was generated for account 26059.,social
Cashback deal #115,deals@shop.example,Get a special discount and free shipping on selected products this weekend. Sent from automated mail service.,promotion
Delivery status #48,ci@example.com,Your package has shipped and the tracking details are now available. Please keep this email for your records.,updates
Final login notice #98,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reference id 27840.,phishing
Cheap medicine offer #95,claim@prize.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Reply is not required for this notification.,spam
Lunch plan #36,friend@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. This message was generated for account 31643.,primary
Lottery winner #51,claim@prize.example,You have been selected for a lottery reward. Act now to receive cash. Sent from automated mail service.,spam
Account suspended #89,verify@bank-check.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Please keep this email for your records.,phishing
Prize claim #36,sales@random.example,You have been selected for a lottery reward. Act now to receive cash. Please keep this email for your records.,spam
New connection request #120,updates@community.example,You have new followers and reactions on your recent post. Sent from automated mail service.,social
Verify password now #87,security-alert@paypa1.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Reply is not required for this notification.,phishing
Delivery status #88,billing@service.example,Your account statement for this month is ready for download. Please keep this email for your records.,updates
New follower #22,notifications@social.example,A colleague sent you a connection request and viewed your profile. Reference id 95139.,social
Password changed #100,ci@example.com,Your package has shipped and the tracking details are now available. Reference id 70981.,updates
Prize claim #75,winner@unknown.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Reference id 51507.,spam
Coupon inside #63,offers@market.example,Get a special discount and free shipping on selected products this weekend. Sent from automated mail service.,promotion
Verify password now #23,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reference id 90760.,phishing
Verify password now #5,support@secure-login.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 25448.,phishing
Build completed #76,no-reply@updates.example,Your account statement for this month is ready for download. This message was generated for account 45838.,updates
Coupon inside #66,deals@shop.example,Get a special discount and free shipping on selected products this weekend. This message was generated for account 32740.,promotion
Urgent security alert #76,security-alert@paypa1.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 30618.,phishing
Exclusive discount #113,offers@market.example,Use this coupon code to unlock cashback on your next purchase. Please keep this email for your records.,promotion
Coupon inside #26,promo@store.example,Buy today and save more with our festival offer. Sent from automated mail service.,promotion
Urgent security alert #63,verify@bank-check.example,Your bank login is locked. Visit www.account-verify.example and confirm details. Reply is not required for this notification.,phishing
Coupon inside #21,deals@shop.example,Limited time sale with exclusive deals for members only. Reply is not required for this notification.,promotion
Group invite #80,notifications@social.example,Someone commented on your update in the project group. Reply is not required for this notification.,social
Comment notification #49,alerts@network.example,You were invited to join a community discussion. This message was generated for account 67619.,social
New follower #11,notifications@social.example,A colleague sent you a connection request and viewed your profile. Please keep this email for your records.,social
Meeting notes #33,manager@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Sent from automated mail service.,primary
Verify password now #103,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. Please keep this email for your records.,phishing
Free gift now #62,sales@random.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Reference id 84289.,spam
Password changed #33,billing@service.example,Your monthly invoice is ready and can be viewed in your account dashboard. This message was generated for account 50189.,updates
Account suspended #14,verify@bank-check.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 31922.,phishing
Group invite #101,updates@community.example,You were invited to join a community discussion. This message was generated for account 69552.,social
Weekend sale #22,deals@shop.example,Buy today and save more with our festival offer. Reply is not required for this notification.,promotion
Verify password now #69,security-alert@paypa1.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 97304.,phishing
Project follow up #53,manager@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Reference id 62565.,primary
Weekend sale #81,offers@market.example,Buy today and save more with our festival offer. Please keep this email for your records.,promotion
Comment notification #66,alerts@network.example,Someone commented on your update in the project group. Sent from automated mail service.,social
Build completed #35,no-reply@updates.example,The deployment completed successfully and logs are attached to the build. Reference id 38361.,updates
Free gift now #30,claim@prize.example,Congratulations!!! You won $5000. Click the URL to claim your prize immediately. Reference id 45187.,spam
